1275213660,GBP,0,0.200000,0.000000,0.200000,2010,Sun May 30,18:01 PM,EST,gbp,GBP Hometrack Housing Survey (MoM) (MAY) ,Low,0.2%,,0.2%
1275213660,GBP,0,2.000000,0.000000,1.800000,2010,Sun May 30,18:01 PM,EST,gbp,GBP Hometrack Housing Survey (YoY) (MAY) ,Low,2.0%,,1.8%
1275214500,JPY,0,54.700000,0.000000,53.800000,2010,Sun May 30,18:15 PM,EST,jpy,JPY Nomura/JMMA Manufacturing Purchasing Manager Index (MAY) ,Low,54.7,,53.8 (R+)
1275216600,JPY,0,1.300000,2.500000,1.200000,2010,Sun May 30,18:50 PM,EST,jpy,JPY Industrial Production (MoM) (APR P) ,Low,1.3%,2.5%,1.2%
1275216600,JPY,0,25.900000,27.400000,31.800000,2010,Sun May 30,18:50 PM,EST,jpy,JPY Industrial Production (YoY) (APR P) ,Low,25.9%,27.4%,31.8%
1275217200,USD,2,0.000000,0.000000,0.000000,2010,Sun May 30,19:00 PM,EST,usd,USD Markets Closed for Memorial Day,High,,,
1275217200,GBP,2,0.000000,0.000000,0.000000,2010,Sun May 30,19:00 PM,EST,gbp,GBP Markets Closed for Spring Holiday,High,,,
1275219000,AUD,0,0.500000,0.000000,0.400000,2010,Sun May 30,19:30 PM,EST,aud,AUD TD Securities Inflation (MoM) (MAY) ,Low,0.5%,,0.4%
1275219000,AUD,1,3.700000,0.000000,2.900000,2010,Sun May 30,19:30 PM,EST,aud,AUD TD Securities Inflation (YoY) (MAY) ,Medium,3.7%,,2.9%
1275222600,AUD,0,6.200000,0.000000,0.900000,2010,Sun May 30,20:30 PM,EST,aud,AUD HIA New Home Sales (MoM) (APR) ,Low,6.2%,,0.9%
1275222600,AUD,1,0.200000,0.500000,0.500000,2010,Sun May 30,20:30 PM,EST,aud,AUD Private Sector Credit (MoM) (APR) ,Medium,0.2%,0.5%,0.5%
1275222600,AUD,1,2.100000,2.400000,2.100000,2010,Sun May 30,20:30 PM,EST,aud,AUD Private Sector Credit (YoY) (APR) ,Medium,2.1%,2.4%,2.1%
1275222600,AUD,0,-16551.000000,-16400.000000,-18468.000000,2010,Sun May 30,20:30 PM,EST,aud,AUD Current Account Balance (Australian Dollar) (1Q) ,Low,-16551M,-16400M,-18468M (R-)
1275222600,AUD,0,3.900000,3.000000,3.200000,2010,Sun May 30,20:30 PM,EST,aud,AUD Company Operating Profit (QoQ) (1Q) ,Low,3.9%,3.0%,3.2% (R+)
1275222600,AUD,0,-0.500000,-0.200000,-1.300000,2010,Sun May 30,20:30 PM,EST,aud,AUD Australia Net Exports of GDP (1Q) ,Low,-0.5%,-0.2,-1.3
1275222600,AUD,0,0.500000,0.500000,0.200000,2010,Sun May 30,20:30 PM,EST,aud,AUD Inventories (1Q) ,Low,0.5%,0.5%,0.2%
1275222600,JPY,0,1.500000,0.800000,1.000000,2010,Sun May 30,20:30 PM,EST,jpy,JPY Labor Cash Earnings (YoY) (APR) ,Low,1.5%,0.8%,1.0% (R+)
1275224400,AUD,0,460.000000,0.000000,450.000000,2010,Sun May 30,21:00 PM,EST,aud,AUD Rismark Aust. Median House PX (MAY),Low,460.0K,,450.0K
1275228000,NZD,1,48.200000,0.000000,49.500000,2010,Sun May 30,22:00 PM,EST,nzd,NZD NBNZ Business Confidence (MAY) ,Medium,48.2,,49.5
1275229200,JPY,0,0.000000,0.000000,0.000000,2010,Sun May 30,22:20 PM,EST,jpy,JPY BOJ Governor Shirakawa to Speak at National Press Club ,Low,,,
